Country,Region,Code,Education,Jobs,Income,Safety,Health,Environment,Civic_Engagement,Accessiblity_to_Services,Housing
Australia,New South Wales,AU1,7.2,8.3,7.1,9.2,9.1,10.0,10.0,8.1,7.4
Australia,Victoria,AU2,7.4,8.5,6.4,9.6,9.4,9.2,10.0,8.2,7.6
Australia,Queensland,AU3,6.9,8.5,6.9,9.3,8.7,10.0,10.0,8.4,8.2
Australia,South Australia,AU4,6.4,8.3,6.6,8.8,8.8,9.9,10.0,7.8,8.3
Australia,Western Australia,AU5,7.0,9.3,7.7,9.0,9.4,9.9,10.0,8.6,8.8
Australia,Tasmania,AU6,5.6,7.5,6.2,8.7,7.2,10.0,10.0,7.3,8.3
Australia,Northern Territory,AU7,6.4,8.7,8.1,1.4,4.1,9.1,8.5,8.4,5.8
Australia,Australian Capital Territory,AU8,9.1,9.6,10.0,10.0,9.9,9.5,10.0,9.6,8.5
Austria,Burgenland,AT11,8.6,8.3,5.9,9.6,7.1,2.7,8.7,7.9,5.4
Austria,Lower Austria,AT12,8.6,8.7,6.3,9.5,7.0,3.0,8.2,8.2,5.1
Austria,Vienna,AT13,8.5,6.9,6.1,8.7,6.5,2.5,6.0,9.0,4.2
Austria,Carinthia,AT21,9.0,8.2,5.7,9.9,7.7,2.0,6.6,7.9,5.3
Austria,Styria,AT22,8.7,8.9,5.8,10.0,7.8,2.6,7.0,8.3,5.0
Austria,Upper Austria,AT31,8.0,9.3,6.0,10.0,7.8,3.8,7.6,8.6,5.0
Austria,Salzburg,AT32,8.7,9.6,6.1,9.9,8.5,2.5,7.0,8.6,4.3
Austria,Tyrol,AT33,8.0,9.4,5.8,9.5,8.7,5.8,5.3,8.2,4.2
Austria,Vorarlberg,AT34,7.9,9.1,6.1,9.4,8.8,0.2,5.1,9.1,5.0
Belgium,Brussels-Capital Region,BE1,6.9,1.5,4.5,6.4,6.8,1.6,8.6,8.1,6.6
Belgium,Flemish Region (Vlaams Gewest),BE2,8.1,7.5,5.4,9.1,7.9,2.6,10.0,8.7,7.7
Belgium,Wallonia (Région wallonne),BE3,7.3,4.5,4.3,7.0,5.2,2.5,9.6,7.9,7.9
Canada,Newfoundland and Labrador,CA10,8.8,4.7,5.7,9.8,5.9,9.9,2.3,8.4,10.0
Canada,Prince Edward Island,CA11,8.5,6.7,5.1,10.0,6.7,10.0,6.6,8.3,9.4
Canada,Nova Scotia,CA12,9.0,6.8,5.5,7.5,6.9,9.7,4.3,8.7,10.0
Canada,New Brunswick,CA13,8.8,6.1,5.3,9.3,7.4,9.4,5.2,8.2,9.8
Canada,Quebec,CA24,9.0,7.4,5.2,8.9,8.6,8.3,4.5,8.4,8.4
Canada,Ontario,CA35,9.5,7.7,6.2,8.9,8.7,7.0,4.2,9.5,8.5
Canada,Manitoba,CA46,8.8,8.6,5.3,4.2,6.7,7.7,3.8,8.7,8.4
Canada,Saskatchewan,CA47,8.9,8.7,6.2,5.7,6.7,7.4,4.5,9.1,9.8
Canada,Alberta,CA48,9.1,9.1,7.9,7.0,8.1,8.1,3.0,10.0,9.1
Canada,British Columbia,CA59,9.6,7.8,6.2,8.0,9.4,8.9,4.0,10.0,8.8
Canada,Yukon,CA60,..,7.7,8.7,9.4,4.1,10.0,5.2,9.5,8.5
Canada,Northwest Territories,CA61,..,7.2,8.8,0.0,4.6,10.0,2.6,..,5.7
Canada,Nunavut,CA62,..,2.1,6.1,0.0,0.0,10.0,0.9,..,2.5
Chile,Tarapacá,CL01,8.5,7.3,0.0,5.8,7.0,2.2,7.6,2.6,1.5
Chile,Antofagasta,CL02,9.0,6.8,0.3,5.1,4.8,3.0,7.7,4.9,1.4
Chile,Atacama,CL03,7.8,7.1,0.0,9.0,6.5,5.4,8.7,1.7,1.7
Chile,Coquimbo,CL04,7.1,6.3,0.0,7.0,7.9,9.4,9.5,0.8,1.9
Chile,Valparaíso,CL05,8.2,6.1,0.0,7.6,6.5,9.4,9.6,2.5,2.2
Chile,O'Higgins,CL06,6.1,7.0,0.0,3.9,6.5,7.9,10.0,0.0,1.9
Chile,Maule,CL07,4.8,6.2,0.0,5.7,5.6,8.3,10.0,0.0,1.9
Chile,Bío-Bío,CL08,6.6,5.4,0.0,5.9,5.9,9.6,9.5,0.7,1.9
Chile,Araucanía,CL09,6.0,6.2,0.0,5.6,6.0,9.7,9.0,0.0,1.8
