Country,Code,Education,Jobs,Income,Safety,Health,Environment,Civic_Engagement,Accessiblity_to_Services,Housing
Australia,AU1,7.2,8.3,7.1,9.2,9.1,10,10,8.1,7.4
Australia,AU2,7.4,8.5,6.4,9.6,9.4,9.2,10,8.2,7.6
Australia,AU3,6.9,8.5,6.9,9.3,8.7,10,10,8.4,8.2
Australia,AU4,6.4,8.3,6.6,8.8,8.8,9.9,10,7.8,8.3
Australia,AU5,7,9.3,7.7,9,9.4,9.9,10,8.6,8.8
Australia,AU6,5.6,7.5,6.2,8.7,7.2,10,10,7.3,8.3
Australia,AU7,6.4,8.7,8.1,1.4,4.1,9.1,8.5,8.4,5.8
Australia,AU8,9.1,9.6,10,10,9.9,9.5,10,9.6,8.5
Austria,AT11,8.6,8.3,5.9,9.6,7.1,2.7,8.7,7.9,5.4
Austria,AT12,8.6,8.7,6.3,9.5,7,3,8.2,8.2,5.1
Austria,AT13,8.5,6.9,6.1,8.7,6.5,2.5,6,9,4.2
Austria,AT21,9,8.2,5.7,9.9,7.7,2,6.6,7.9,5.3
Austria,AT22,8.7,8.9,5.8,10,7.8,2.6,7,8.3,5
Austria,AT31,8,9.3,6,10,7.8,3.8,7.6,8.6,5
Austria,AT32,8.7,9.6,6.1,9.9,8.5,2.5,7,8.6,4.3
Austria,AT33,8,9.4,5.8,9.5,8.7,5.8,5.3,8.2,4.2
Austria,AT34,7.9,9.1,6.1,9.4,8.8,0.2,5.1,9.1,5
Belgium,BE1,6.9,1.5,4.5,6.4,6.8,1.6,8.6,8.1,6.6
Belgium,BE2,8.1,7.5,5.4,9.1,7.9,2.6,10,8.7,7.7
Belgium,BE3,7.3,4.5,4.3,7,5.2,2.5,9.6,7.9,7.9
Canada,CA10,8.8,4.7,5.7,9.8,5.9,9.9,2.3,8.4,10
Canada,CA11,8.5,6.7,5.1,10,6.7,10,6.6,8.3,9.4
Canada,CA12,9,6.8,5.5,7.5,6.9,9.7,4.3,8.7,10
Canada,CA13,8.8,6.1,5.3,9.3,7.4,9.4,5.2,8.2,9.8
Canada,CA24,9,7.4,5.2,8.9,8.6,8.3,4.5,8.4,8.4
Canada,CA35,9.5,7.7,6.2,8.9,8.7,7,4.2,9.5,8.5
Canada,CA46,8.8,8.6,5.3,4.2,6.7,7.7,3.8,8.7,8.4
Canada,CA47,8.9,8.7,6.2,5.7,6.7,7.4,4.5,9.1,9.8
Canada,CA48,9.1,9.1,7.9,7,8.1,8.1,3,10,9.1
Canada,CA59,9.6,7.8,6.2,8,9.4,8.9,4,10,8.8
Canada,CA60,NA,7.7,8.7,9.4,4.1,10,5.2,9.5,8.5
Canada,CA61,NA,7.2,8.8,0,4.6,10,2.6,NA,5.7
Canada,CA62,NA,2.1,6.1,0,0,10,0.9,NA,2.5
Chile,CL01,8.5,7.3,0,5.8,7,2.2,7.6,2.6,1.5
Chile,CL02,9,6.8,0.3,5.1,4.8,3,7.7,4.9,1.4
Chile,CL03,7.8,7.1,0,9,6.5,5.4,8.7,1.7,1.7
Chile,CL04,7.1,6.3,0,7,7.9,9.4,9.5,0.8,1.9
Chile,CL05,8.2,6.1,0,7.6,6.5,9.4,9.6,2.5,2.2
Chile,CL06,6.1,7,0,3.9,6.5,7.9,10,0,1.9
Chile,CL07,4.8,6.2,0,5.7,5.6,8.3,10,0,1.9
Chile,CL08,6.6,5.4,0,5.9,5.9,9.6,9.5,0.7,1.9
Chile,CL09,6,6.2,0,5.6,6,9.7,9,0,1.8
Chile,CL10,5.9,7.5,0,4.2,5.6,10,9.4,0.3,2.1
Chile,CL11,5.8,8.6,0.4,0,5.3,10,6.5,0,2
Chile,CL12,8.5,7.7,0.5,2.6,5.1,10,5.4,1.5,3.1
Chile,CL13,8.3,6.9,0.8,5,7.1,7.5,9.8,4.3,1.9
Chile,CL14,6,6.4,0,4.1,5.4,10,9.1,0.1,NA
Chile,CL15,8.4,6.6,0,5.2,6.9,3,6.5,4.1,NA
Czech Republic,CZ01,10,9.1,3.8,7.6,5.6,1.8,4.7,7.9,2.5
Czech Republic,CZ02,10,8,2.9,8.3,3.1,2.8,4.2,7.2,3.4
Czech Republic,CZ03,10,7.7,2.3,8.1,3.6,4.4,3.7,6.5,3
